Driver,Wins,AvgStart,AvgMidRace,AvgFinish,AvgPos,PassDiff,GreenFlagPasses,GreenFlagPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsInTop15,PercentLapsInTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Points,Year
Brian Vickers,0,23.0,25.1,25.1,24.2,-20,1679,1699,598,35.6,89,1603,27.4,106,1.8,5856,64.4,2065,2007
David Reutimann,0,25.3,29.3,30.4,29.1,-102,2039,2141,486,23.8,34,604,9.1,3,0.0,6618,49.8,1878,2007
Sterling Marlin,0,28.6,24.3,26.8,26.2,-76,1645,1721,452,27.5,18,900,15.5,18,0.3,5808,57.1,1752,2007
Dale Jarrett,0,31.9,31.3,32.3,32.7,-168,1025,1193,84,8.2,9,133,2.3,0,0.0,5771,42.0,1584,2007
Bill Elliott,0,30.3,30.8,28.4,30.5,-192,934,1126,125,13.4,3,184,3.4,5,0.1,5364,44.0,1579,2007
AJ Allmendinger,0,28.7,34.8,31.6,34.2,-92,648,740,57,8.8,19,134,2.5,1,0.0,5373,40.0,1165,2007
Michael Waltrip,0,21.6,29.7,25.0,28.5,-141,889,1030,318,35.8,11,482,12.4,8,0.2,3877,53.6,1149,2007
Jeremy Mayfield,0,29.7,33.4,32.1,32.1,-333,1185,1518,164,13.8,25,438,8.9,6,0.1,4917,41.1,1126,2007
Kenny Wallace,0,29.3,32.1,30.9,32.2,-266,896,1162,105,11.7,6,86,2.0,3,0.1,4268,41.0,1066,2007
Ward Burton,0,26.1,35.6,34.9,34.2,-141,498,639,63,12.7,20,126,3.4,4,0.1,3706,40.6,939,2007
Ken Schrader,0,27.2,27.7,30.7,30.3,-140,650,790,42,6.5,10,450,11.9,3,0.1,3767,45.0,932,2007
John Andretti,0,28.9,34.0,33.7,32.6,-182,633,815,97,15.3,18,163,4.3,2,0.1,3812,41.3,932,2007
Regan Smith,0,19.3,33.9,30.0,30.9,-32,622,654,83,13.3,9,61,3.1,1,0.1,1977,49.5,516,2007
Boris Said,0,24.0,26.0,20.8,26.6,-1,449,450,59,13.1,7,130,14.7,1,0.1,885,63.4,510,2007
Aric Almirola,0,33.2,34.0,34.5,33.6,-68,366,434,25,6.8,3,8,0.6,0,0.0,1357,39.9,357,2007
Mike Bliss,0,27.0,31.3,27.3,28.8,4,134,130,20,14.9,9,244,17.9,0,0.0,1362,52.6,325,2007
Ron Fellows,0,18.5,23.0,9.5,16.8,99,139,40,52,37.4,3,107,53.5,3,1.5,200,89.4,283,2007
P.J. Jones,0,38.0,27.3,24.7,28.4,24,208,184,30,14.4,0,44,11.1,0,0.0,398,51.0,267,2007
Mike Wallace,0,18.5,20.5,11.5,29.0,-15,378,393,72,19.0,3,54,13.8,0,0.0,390,61.1,266,2007
Patrick Carpentier,0,30.7,32.0,31.7,33.5,-45,108,153,2,1.9,0,14,2.2,7,1.1,625,44.0,209,2007
Terry Labonte,0,35.3,29.0,31.7,30.3,-50,120,170,5,4.2,0,3,0.9,0,0.0,349,38.4,204,2007
Johnny Benson,0,27.0,39.3,36.7,37.9,-28,91,119,0,0.0,0,0,0.0,0,0.0,778,34.1,159,2007
Sam Hornish Jr.,0,27.5,35.5,33.5,33.6,12,82,70,0,0.0,0,0,0.0,0,0.0,564,41.0,150,2007
Jacques Villeneuve,0,16.5,35.5,31.0,34.1,-60,166,226,0,0.0,4,2,0.6,0,0.0,324,38.4,140,2007
Chad McCumbee,0,38.5,34.0,33.0,36.3,11,73,62,9,12.3,0,2,0.8,0,0.0,240,38.2,128,2007
Chad Chaffin,0,34.5,39.0,33.5,37.5,-18,46,64,0,0.0,0,0,0.0,0,0.0,556,33.7,125,2007
Mike Skinner,0,14.0,25.0,24.0,26.1,-11,61,72,9,14.8,0,6,1.8,0,0.0,331,52.9,110,2007
Kevin Lepage,0,40.0,38.5,38.5,39.0,0,65,65,3,4.6,0,0,0.0,0,0.0,421,28.4,95,2007
Butch Leitzinger,0,30.0,29.0,28.0,33.5,-5,47,52,0,0.0,0,0,0.0,0,0.0,110,41.7,79,2007
Jon Wood,0,41.0,31.0,29.0,32.0,-13,45,58,0,0.0,1,0,0.0,0,0.0,264,38.0,76,2007
Scott Wimmer,0,22.0,33.0,31.0,25.4,5,26,21,1,3.8,0,21,14.5,0,0.0,145,51.9,70,2007
Marc Goossens,0,21.0,40.0,36.0,36.3,-16,40,56,0,0.0,0,0,0.0,0,0.0,109,31.8,55,2007
